id,x,y,z
73,2.5417988,-2.0028892,5.340088
74,2.4146168,-2.0877929,5.6730022
75,2.825229,-2.0750384,5.706771
76,2.512128,-2.0593264,5.8723907
77,2.8025837,-1.7976555,5.478197
78,0.9672494,-0.5448741,2.2265787
79,0.8818889,-0.38839993,2.0053658
80,2.2745278,-0.62892705,5.264252
81,1.920611,-0.6107962,5.2028255
82,2.1276352,-0.59180295,5.0353646
83,2.0983522,-0.5634114,5.2490034
84,1.9881887,-0.4319036,5.0217123
85,2.1338887,-0.42618656,5.0047884
86,2.2408698,-0.42074046,5.1633277
87,1.8752859,-0.40134752,5.0540195
88,2.0320678,-0.42424184,5.339321
89,2.096252,-0.39306593,4.93863
90,1.7090845,-0.28628132,4.4906187
91,2.214424,-0.326061,5.102206
92,2.4479344,-0.32190228,5.02208
93,2.0716927,-0.30275464,4.8805966
94,2.3904545,-0.29847306,4.9427915
95,2.2641034,-0.2620401,4.955003
96,2.0146592,-0.17458566,4.969956
97,2.2293134,-0.17240971,4.879103
98,2.3540041,-0.16704431,4.7003856
99,2.5044036,-0.17373364,4.8889675
100,1.3977365,-0.14175463,4.2728844
101,1.956901,-0.15068291,5.1163983
102,2.2758098,-0.14233491,4.76175
103,2.427378,-0.1436999,4.7918863
104,1.9312503,-0.13400896,4.8319106
105,2.0531662,-0.13403529,4.814978
106,1.9298457,-0.12115107,5.0704556
107,2.2517617,-0.11515128,4.7299676
108,1.7874519,-0.106350556,4.816716
109,1.6268332,-0.03634489,4.2747364
110,2.0838423,-0.04074824,4.8229218
111,2.2144282,-0.040405277,4.6521044
112,2.3641226,-0.032960065,4.8499184
113,2.034832,-0.02263052,4.7510734
114,1.8126401,0.0038896804,4.6007237
115,1.9674112,0.004473694,4.8529015
116,2.4474158,0.0112452675,4.794702
117,2.7239964,0.03144585,5.416519
118,1.3093406,0.058180735,4.003541
119,2.0189202,0.06509898,4.5132384
120,1.7867287,0.08094271,5.047413
121,2.2753,0.090294145,5.6117525
122,2.309002,0.0739751,4.592961
123,2.360287,-2.0443392,5.5544734
124,2.9303586,-2.1690152,5.9333577
125,2.603094,-1.9101391,5.351054
126,2.521067,-2.0771515,5.9007277
127,2.6603098,-1.8512505,5.334861
128,2.5406709,-1.8058739,5.2241516
129,0.5175563,-1.3846198,4.3264413
130,1.1881096,-0.992167,3.3142447
131,0.9127009,-1.0070583,3.979355
132,0.94293493,-0.5300202,2.1790154
133,1.8006839,-0.83171666,4.7676244
134,2.068828,-0.58523643,4.9200506
135,2.037339,-0.44337216,5.151574
136,1.6023387,-0.22469659,4.0287375
137,2.3309572,-0.27410498,5.2276406
138,1.8466535,-0.1676508,4.696604
139,2.013327,-0.17750625,4.975699
140,2.171061,-0.15750442,4.354762
141,1.4525355,-0.12137393,4.180456
142,2.007326,-0.13064268,4.4557815
143,2.4292068,-0.14865428,5.0825195
144,2.0027914,-0.09997727,4.6607585
145,2.3988557,-0.11386186,5.042705
146,1.3244452,-0.04394982,4.0223484
147,1.6100935,-0.043955557,4.2436967
148,2.0358663,-0.048740353,4.71191
149,2.3441195,-0.040421326,4.928742
150,2.2313802,-0.02827071,4.580902
151,2.2325869,0.004181367,5.0071926
152,1.4646547,0.014601962,4.4819093
153,1.721502,0.020679126,5.0278816
154,1.990268,0.013318345,5.059041
155,2.4135065,0.024011709,4.8181553
156,1.3264161,0.048897758,4.0561724
157,2.1502838,0.062437497,4.8248696
158,2.2810767,0.062221568,4.5581155
159,1.4317206,0.059239898,4.200232
160,1.9012475,0.07888636,5.36666
161,2.3763933,-1.4758922,4.99884
162,2.4911187,-1.4280789,5.01285
163,1.6193862,-0.7773049,4.8626447
164,1.4661504,-0.44148117,4.2290936
165,1.8106822,-0.4120089,4.5103297
166,2.1239426,-0.46177799,5.3643656
167,2.0906093,-0.38586047,4.937709
168,2.562396,-0.31599334,5.295506
169,1.9914136,-0.18597065,5.0645423
170,2.4321065,-0.15638037,5.7095504
171,2.4905093,-0.15830906,5.489321
172,2.4453073,-0.14829116,5.110967
173,2.2204642,-0.13317734,4.562234
174,1.364772,-0.047798473,4.1373267
175,2.1316674,-0.0053721117,4.6422086
176,1.389891,0.011929237,4.0822988
177,2.3313265,0.023237605,5.201809
178,2.136061,0.06644795,5.2482667
179,2.2176158,0.067632504,4.9514775
180,0.5946981,-1.5941982,4.9472585
181,0.889889,-0.49783644,2.0566666
182,0.8528888,-0.65601945,2.9947486
183,1.28986,-0.14513455,3.9120586
184,2.163388,-0.14796352,4.7877326
185,2.025688,-0.05977733,4.7576594
186,1.9681461,0.05271176,4.848184
187,0.6762364,-1.1530968,3.962769
188,1.389916,-0.9492894,4.3982897
189,1.9980676,-0.9818292,5.5597987
190,1.7323875,-0.5448916,4.518047
191,1.6619548,-0.4159773,4.1615114
192,2.7209876,-0.18315922,5.9834447
193,2.213472,-0.14013454,5.2307663
194,1.2729388,-0.067575075,3.8824687
195,1.6698912,-0.054924976,3.9478934
196,1.802385,0.028568758,4.073996
197,0.8014279,-1.0811102,3.7785218
198,2.1265643,-0.075011,5.000882
199,1.9521105,0.037908196,4.7471547
200,1.8736455,-0.44598162,4.836678
